,id,artist_name,track_name,album_name,artist_genre,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1137,0TK2YIli7K1leLovkQiNik,Shawn Mendes,Señorita,Señorita,"['canadian pop', 'pop', 'viral pop']",84,81,38122219,190960,0.54,9,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
1138,2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Memories,['pop'],84,34,36713450,189486,0.32,11,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4
1139,6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,"['colombian pop', 'dance pop', 'pop']",78,83,2943905,160191,0.524,11,-9.016,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4
1140,7jr3iPu4O4bTCVwLMbdU2i,Dua Lipa,Kiss and Make Up,Dua Lipa (Complete Edition),"['dance pop', 'pop', 'uk pop']",88,74,34462295,189173,0.729,8,-4.188,0.137,0.0658,0.0,0.303,0.643,99.895,189173,4
1141,41zXlQxzTi6cGAjpOXyLYH,Billie Eilish,idontwannabeyouanymore,dont smile at me,"['art pop', 'electropop', 'pop']",86,80,63945939,203569,0.412,7,-8.461,0.0402,0.737,0.0,0.116,0.247,170.163,203569,3
1142,05CwHjIk71RXVU40boRMnR,The Chainsmokers,Call You Mine (feat. Bebe Rexha),World War Joy,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",80,1,19171653,217653,0.702,7,-5.59,0.0289,0.225,0.0,0.414,0.501,104.003,217653,4
1143,6R6ZoHTypt5lt68MWbzZXv,Lady Gaga,Sour Candy (with BLACKPINK),Sour Candy (with BLACKPINK),"['art pop', 'dance pop', 'pop']",83,67,22364466,157707,0.87,9,-3.812,0.0623,0.0604,1.12e-05,0.489,0.784,120.006,157707,4
1144,2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),"['pop', 'uk pop']",76,82,9616155,215107,0.575,3,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
1145,3QGsuHI8jO1Rx4JWLUh9jd,Shawn Mendes,Treat You Better,Illuminate,"['canadian pop', 'pop', 'viral pop']",84,83,38122219,187973,0.819,10,-4.078,0.341,0.106,0.0,0.107,0.747,82.695,187973,4
1146,4tNXntkAzQ5A2dfYRYGIIQ,5 Seconds of Summer,Easier,Easier,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,1,8598881,157493,0.428,5,-5.604,0.221,0.489,0.0,0.0977,0.618,175.813,157493,4
